,Method,Mark,Dataset,binsize,feature_selection,kmeans_ami,kmeans_ari,ward_ami,ward_ari,cosine_ami,cosine_ari,silhouette
19,Chromscape_PCA,H3K27me3,scChIP_Marsolier_2022,10,raw,0.5688045603565294,0.6738421630619705,0.726264309655466,0.8280136968136579,0.6162690348098717,0.7269010579814603,0.2801909074531001
20,Signac,H3K27me3,scChIP_Marsolier_2022,10,raw,0.0019010744028427,-0.008276012146173,0.0077761680544326,-0.0174609148123938,0.1230792770878917,0.1921901006006894,0.0194838254853195
21,SnapATAC,H3K27me3,scChIP_Marsolier_2022,10,raw,0.5699943529231223,0.6674048509565796,0.4379880986375407,0.4809864729953655,0.6417548977755907,0.7411481261790543,0.5111417515436524
22,cisTopic,H3K27me3,scChIP_Marsolier_2022,10,raw,0.5616957989130925,0.6592552479947555,0.418224530459347,0.4703825848809284,0.6682193568706658,0.7773832917402931,0.3709604074424586
23,PeakVI,H3K27me3,scChIP_Marsolier_2022,10,raw,0.6043825178436842,0.7171272118071269,0.4139385849089805,0.4659416912021724,0.5151288300624589,0.6417453651018062,0.2501486246763163
24,SCALE,H3K27me3,scChIP_Marsolier_2022,10,raw,0.0004103374986343,-0.0022293578650575,0.0718052007488963,0.052722688017884,0.0311165990060624,0.0534102108615357,0.2968566305130923
25,NMF,H3K27me3,scChIP_Marsolier_2022,10,raw,0.2052896328483645,0.2726711369020607,0.0001153600946383,0.0001594002055852,0.0001153600946383,0.0001594002055852,0.2437430314255213
26,TFIDF-NMF,H3K27me3,scChIP_Marsolier_2022,10,raw,0.2719009417239423,0.3850321808801295,0.1981347046901284,0.2933586267444445,0.4541358248175456,0.5385230326542281,0.1876285339187007
27,Chromscape_LSI,H3K27me3,scChIP_Marsolier_2022,AuthorAnnotation,raw,0.079958934592468,0.134521798252747,0.0252887665015589,0.0655229334192963,0.2761365963913226,0.3066947639169208,0.1678727469314731
28,Chromscape_PCA,H3K27me3,scChIP_Marsolier_2022,AuthorAnnotation,raw,0.5319330737125623,0.5967892551309596,0.3635919845497864,0.4257696443981807,0.8802660433139171,0.9381416340373644,0.4101704914998927
29,Signac,H3K27me3,scChIP_Marsolier_2022,AuthorAnnotation,raw,0.0350627253954004,0.0213100186988198,0.261481029880327,0.2608975932702471,0.4847803363855462,0.5940750148233931,0.0172790246326506
30,SnapATAC,H3K27me3,scChIP_Marsolier_2022,AuthorAnnotation,raw,0.0697988770022782,0.0900761942625044,0.011973032916621,0.0010053303448849,0.0637626213335213,0.0646971615750162,0.2600430942205946
31,cisTopic,H3K27me3,scChIP_Marsolier_2022,AuthorAnnotation,raw,0.3713725077936856,0.3941853242753033,0.2580485442127205,0.2486737201155363,0.280459513495175,0.2857356528767301,0.2668621702262593
32,PeakVI,H3K27me3,scChIP_Marsolier_2022,AuthorAnnotation,raw,0.5625957564036022,0.6605974585547073,0.7564180875024221,0.8406208479266136,0.7529855238779982,0.8356560000065162,0.2333096784910413
33,NMF,H3K27me3,scChIP_Marsolier_2022,AuthorAnnotation,raw,0.2449975631023725,0.2343927207136529,0.3608334921288597,0.365231875821043,0.6642668701921234,0.7802476232578816,0.3035297268651299
34,TFIDF-NMF,H3K27me3,scChIP_Marsolier_2022,AuthorAnnotation,raw,0.4401993862531146,0.4661989815626193,0.4224486372128838,0.4462793709028602,0.0003453589116856,-0.0004433171477209,0.3094412692439333
35,Chromscape_LSI,H3K27me3,scChIP_Marsolier_2022,50,raw,0.5379522970170784,0.6384548445069059,0.8337909794023388,0.9015177507566228,0.866244161051218,0.930718668981888,0.3558418787968389
36,Chromscape_PCA,H3K27me3,scChIP_Marsolier_2022,50,raw,0.5428990314417107,0.6227855352719499,0.338476065598139,0.4029428662716676,0.9104078056114918,0.9573016464883792,0.4176314175294355
37,Signac,H3K27me3,scChIP_Marsolier_2022,50,raw,0.0182795780395594,-0.0048735180275248,0.2771012329966134,0.3089693840301346,0.2510030288042165,0.2933531881742792,0.0157934950318993
38,SnapATAC,H3K27me3,scChIP_Marsolier_2022,50,raw,0.5422193729966761,0.6256014698329606,0.3888362874071032,0.4237159630221543,0.4914415899235462,0.5448273766091234,0.5845142138296355
39,cisTopic,H3K27me3,scChIP_Marsolier_2022,50,raw,0.545090091454443,0.6223640106269946,0.8185532890103219,0.8984900985146785,0.3654630551272555,0.4001626939160714,0.4303477678973045
40,PeakVI,H3K27me3,scChIP_Marsolier_2022,50,raw,0.7637263904648595,0.8539622974081913,0.7854553772575203,0.8754350003862337,0.8319757289811324,0.9067529520033684,0.3408181846942045
41,SCALE,H3K27me3,scChIP_Marsolier_2022,50,raw,0.0242447665381687,0.0076381226985484,0.1254439131225747,0.0567664235653899,0.0121686127171985,0.0270325179559152,0.2740934531801165
42,NMF,H3K27me3,scChIP_Marsolier_2022,50,raw,0.3016570180831365,0.276400519748854,0.304952337065656,0.2786804096482486,0.000437015856391,0.0003268231404646,0.2702645975982871
43,TFIDF-NMF,H3K27me3,scChIP_Marsolier_2022,50,raw,0.4636666358502504,0.5316272795858878,0.8643524802603654,0.9229951498894629,0.4273057578056036,0.4518463816835872,0.2753378924690782
44,Chromscape_LSI,H3K27me3,scChIP_Marsolier_2022,20,raw,0.597233500622109,0.6901805970502696,0.8639918526896622,0.925603853351586,0.9090425826669106,0.9568443540141708,0.3590733805309563
45,Chromscape_PCA,H3K27me3,scChIP_Marsolier_2022,20,raw,0.5476336593510416,0.6379586835278592,0.374068481546692,0.4171275910482015,0.8447822510807571,0.9165652536372632,0.3406089363140336
46,Signac,H3K27me3,scChIP_Marsolier_2022,20,raw,0.0081754091660668,-0.0113529534456788,0.1686145435293781,0.185460835458935,0.1047393186013249,0.1046426195782438,0.0172671271728026
