,Method,K,fraction,frac. shared neighbors,Mark,Dataset,binsize,feature_selection
87,SnapATAC,8,0.001,0.0032514450867052,H3K9me3,scCutTagPro_Zhang_2021,10,raw
88,cisTopic,8,0.001,0.0025740606936416,H3K9me3,scCutTagPro_Zhang_2021,10,raw
89,Chromscape_LSI,25,0.003,0.0071628131021194,H3K9me3,scCutTagPro_Zhang_2021,10,raw
90,Chromscape_PCA,25,0.003,0.0079576107899807,H3K9me3,scCutTagPro_Zhang_2021,10,raw
91,Signac,25,0.003,0.0085934489402697,H3K9me3,scCutTagPro_Zhang_2021,10,raw
92,SnapATAC,25,0.003,0.0093208092485549,H3K9me3,scCutTagPro_Zhang_2021,10,raw
93,cisTopic,25,0.003,0.0077215799614643,H3K9me3,scCutTagPro_Zhang_2021,10,raw
94,Chromscape_LSI,42,0.005,0.0115262868153041,H3K9me3,scCutTagPro_Zhang_2021,10,raw
95,Chromscape_PCA,42,0.005,0.0124925451876318,H3K9me3,scCutTagPro_Zhang_2021,10,raw
96,Signac,42,0.005,0.0138573492981007,H3K9me3,scCutTagPro_Zhang_2021,10,raw
97,SnapATAC,42,0.005,0.014832209377007,H3K9me3,scCutTagPro_Zhang_2021,10,raw
98,cisTopic,42,0.005,0.0127419946784108,H3K9me3,scCutTagPro_Zhang_2021,10,raw
99,Chromscape_LSI,83,0.01,0.021140922069782,H3K9me3,scCutTagPro_Zhang_2021,10,raw
100,Chromscape_PCA,83,0.01,0.0230009633911368,H3K9me3,scCutTagPro_Zhang_2021,10,raw
101,Signac,83,0.01,0.0256024096385542,H3K9me3,scCutTagPro_Zhang_2021,10,raw
102,SnapATAC,83,0.01,0.0274929196555006,H3K9me3,scCutTagPro_Zhang_2021,10,raw
103,cisTopic,83,0.01,0.0238482833066369,H3K9me3,scCutTagPro_Zhang_2021,10,raw
104,Chromscape_LSI,249,0.03,0.0535833120536094,H3K9me3,scCutTagPro_Zhang_2021,10,raw
105,Chromscape_PCA,249,0.03,0.06187418266515,H3K9me3,scCutTagPro_Zhang_2021,10,raw
106,Signac,249,0.03,0.0674480194380605,H3K9me3,scCutTagPro_Zhang_2021,10,raw
107,SnapATAC,249,0.03,0.0711066810594981,H3K9me3,scCutTagPro_Zhang_2021,10,raw
108,cisTopic,249,0.03,0.0656411774264688,H3K9me3,scCutTagPro_Zhang_2021,10,raw
109,Chromscape_LSI,415,0.05,0.0822413933189405,H3K9me3,scCutTagPro_Zhang_2021,10,raw
110,Chromscape_PCA,415,0.05,0.0975253615618543,H3K9me3,scCutTagPro_Zhang_2021,10,raw
111,Signac,415,0.05,0.104407514450867,H3K9me3,scCutTagPro_Zhang_2021,10,raw
112,SnapATAC,415,0.05,0.1100091115908721,H3K9me3,scCutTagPro_Zhang_2021,10,raw
113,cisTopic,415,0.05,0.1038399261787032,H3K9me3,scCutTagPro_Zhang_2021,10,raw
114,Chromscape_LSI,830,0.1,0.1451918947466165,H3K9me3,scCutTagPro_Zhang_2021,10,raw
115,Chromscape_PCA,830,0.1,0.1726174930937623,H3K9me3,scCutTagPro_Zhang_2021,10,raw
116,Signac,830,0.1,0.1855116999791072,H3K9me3,scCutTagPro_Zhang_2021,10,raw
117,SnapATAC,830,0.1,0.1941233140655106,H3K9me3,scCutTagPro_Zhang_2021,10,raw
118,cisTopic,830,0.1,0.1901966246488845,H3K9me3,scCutTagPro_Zhang_2021,10,raw
119,Chromscape_LSI,8,0.001,0.0035976637764932,H3K9me3,scCutTagPro_Zhang_2021,50,raw
120,Chromscape_PCA,8,0.001,0.002559007707129,H3K9me3,scCutTagPro_Zhang_2021,50,raw
121,Signac,8,0.001,0.0027848025048169,H3K9me3,scCutTagPro_Zhang_2021,50,raw
122,SnapATAC,8,0.001,0.0037331406551059,H3K9me3,scCutTagPro_Zhang_2021,50,raw
123,cisTopic,8,0.001,0.003131021194605,H3K9me3,scCutTagPro_Zhang_2021,50,raw
124,Chromscape_LSI,25,0.003,0.0099373795761079,H3K9me3,scCutTagPro_Zhang_2021,50,raw
125,Chromscape_PCA,25,0.003,0.0072591522157996,H3K9me3,scCutTagPro_Zhang_2021,50,raw
126,Signac,25,0.003,0.0083044315992292,H3K9me3,scCutTagPro_Zhang_2021,50,raw
127,SnapATAC,25,0.003,0.0103660886319845,H3K9me3,scCutTagPro_Zhang_2021,50,raw
128,cisTopic,25,0.003,0.0091088631984585,H3K9me3,scCutTagPro_Zhang_2021,50,raw
129,Chromscape_LSI,42,0.005,0.0160278465914304,H3K9me3,scCutTagPro_Zhang_2021,50,raw
130,Chromscape_PCA,42,0.005,0.0117212588310854,H3K9me3,scCutTagPro_Zhang_2021,50,raw
131,Signac,42,0.005,0.0131835489494449,H3K9me3,scCutTagPro_Zhang_2021,50,raw
132,SnapATAC,42,0.005,0.0169998394348105,H3K9me3,scCutTagPro_Zhang_2021,50,raw
133,cisTopic,42,0.005,0.0143562482796586,H3K9me3,scCutTagPro_Zhang_2021,50,raw
134,Chromscape_LSI,83,0.01,0.0294661304176242,H3K9me3,scCutTagPro_Zhang_2021,50,raw
135,Chromscape_PCA,83,0.01,0.0215616802469995,H3K9me3,scCutTagPro_Zhang_2021,50,raw
136,Signac,83,0.01,0.0245243981707175,H3K9me3,scCutTagPro_Zhang_2021,50,raw
137,SnapATAC,83,0.01,0.0305455927757271,H3K9me3,scCutTagPro_Zhang_2021,50,raw
138,cisTopic,83,0.01,0.0266296399470715,H3K9me3,scCutTagPro_Zhang_2021,50,raw
139,Chromscape_LSI,249,0.03,0.0751609520935379,H3K9me3,scCutTagPro_Zhang_2021,50,raw
140,Chromscape_PCA,249,0.03,0.0553732270120946,H3K9me3,scCutTagPro_Zhang_2021,50,raw
141,Signac,249,0.03,0.0625764135540234,H3K9me3,scCutTagPro_Zhang_2021,50,raw
142,SnapATAC,249,0.03,0.0766287694129117,H3K9me3,scCutTagPro_Zhang_2021,50,raw
143,cisTopic,249,0.03,0.0715569406721297,H3K9me3,scCutTagPro_Zhang_2021,50,raw
144,Chromscape_LSI,415,0.05,0.1142384567170415,H3K9me3,scCutTagPro_Zhang_2021,50,raw
145,Chromscape_PCA,415,0.05,0.0846910764445063,H3K9me3,scCutTagPro_Zhang_2021,50,raw
146,Signac,415,0.05,0.0962044710634445,H3K9me3,scCutTagPro_Zhang_2021,50,raw
147,SnapATAC,415,0.05,0.1178845439561715,H3K9me3,scCutTagPro_Zhang_2021,50,raw
148,cisTopic,415,0.05,0.111816630684588,H3K9me3,scCutTagPro_Zhang_2021,50,raw
149,Chromscape_LSI,830,0.1,0.199233059405251,H3K9me3,scCutTagPro_Zhang_2021,50,raw
150,Chromscape_PCA,830,0.1,0.1502267741486176,H3K9me3,scCutTagPro_Zhang_2021,50,raw
151,Signac,830,0.1,0.1700765489704482,H3K9me3,scCutTagPro_Zhang_2021,50,raw
152,SnapATAC,830,0.1,0.2063888501984818,H3K9me3,scCutTagPro_Zhang_2021,50,raw
153,cisTopic,830,0.1,0.1997909267126308,H3K9me3,scCutTagPro_Zhang_2021,50,raw
154,Chromscape_LSI,8,0.001,0.0036428227360308,H3K9me3,scCutTagPro_Zhang_2021,20,raw
155,Chromscape_PCA,8,0.001,0.0025891136801541,H3K9me3,scCutTagPro_Zhang_2021,20,raw
156,Signac,8,0.001,0.0030407032755298,H3K9me3,scCutTagPro_Zhang_2021,20,raw
157,SnapATAC,8,0.001,0.0034170279383429,H3K9me3,scCutTagPro_Zhang_2021,20,raw
158,cisTopic,8,0.001,0.0027546965317919,H3K9me3,scCutTagPro_Zhang_2021,20,raw
159,Chromscape_LSI,25,0.003,0.0096146435452793,H3K9me3,scCutTagPro_Zhang_2021,20,raw
160,Chromscape_PCA,25,0.003,0.007543352601156,H3K9me3,scCutTagPro_Zhang_2021,20,raw
161,Signac,25,0.003,0.0082658959537572,H3K9me3,scCutTagPro_Zhang_2021,20,raw
162,SnapATAC,25,0.003,0.0099951830443159,H3K9me3,scCutTagPro_Zhang_2021,20,raw
163,cisTopic,25,0.003,0.008179190751445,H3K9me3,scCutTagPro_Zhang_2021,20,raw
164,Chromscape_LSI,42,0.005,0.0155604872006606,H3K9me3,scCutTagPro_Zhang_2021,20,raw
165,Chromscape_PCA,42,0.005,0.0122861042297458,H3K9me3,scCutTagPro_Zhang_2021,20,raw
166,Signac,42,0.005,0.0136910496375814,H3K9me3,scCutTagPro_Zhang_2021,20,raw
167,SnapATAC,42,0.005,0.0157296540967061,H3K9me3,scCutTagPro_Zhang_2021,20,raw
168,cisTopic,42,0.005,0.0135362189191668,H3K9me3,scCutTagPro_Zhang_2021,20,raw
169,Chromscape_LSI,83,0.01,0.0286420247463843,H3K9me3,scCutTagPro_Zhang_2021,20,raw
170,Chromscape_PCA,83,0.01,0.0225584418599252,H3K9me3,scCutTagPro_Zhang_2021,20,raw
171,Signac,83,0.01,0.0255617847110987,H3K9me3,scCutTagPro_Zhang_2021,20,raw
172,SnapATAC,83,0.01,0.0286043015994614,H3K9me3,scCutTagPro_Zhang_2021,20,raw
173,cisTopic,83,0.01,0.0255356686863059,H3K9me3,scCutTagPro_Zhang_2021,20,raw
174,Chromscape_LSI,249,0.03,0.0735456275970935,H3K9me3,scCutTagPro_Zhang_2021,20,raw
175,Chromscape_PCA,249,0.03,0.0597239632905417,H3K9me3,scCutTagPro_Zhang_2021,20,raw
176,Signac,249,0.03,0.0670470900944819,H3K9me3,scCutTagPro_Zhang_2021,20,raw
177,SnapATAC,249,0.03,0.073208053795142,H3K9me3,scCutTagPro_Zhang_2021,20,raw
178,cisTopic,249,0.03,0.0687011049980267,H3K9me3,scCutTagPro_Zhang_2021,20,raw
179,Chromscape_LSI,415,0.05,0.112583571279337,H3K9me3,scCutTagPro_Zhang_2021,20,raw
180,Chromscape_PCA,415,0.05,0.0935092973048262,H3K9me3,scCutTagPro_Zhang_2021,20,raw
181,Signac,415,0.05,0.103362293103048,H3K9me3,scCutTagPro_Zhang_2021,20,raw
182,SnapATAC,415,0.05,0.1127295308401234,H3K9me3,scCutTagPro_Zhang_2021,20,raw
183,cisTopic,415,0.05,0.1078884903776957,H3K9me3,scCutTagPro_Zhang_2021,20,raw
184,Chromscape_LSI,830,0.1,0.1980991886621631,H3K9me3,scCutTagPro_Zhang_2021,20,raw
185,Chromscape_PCA,830,0.1,0.1661827947628665,H3K9me3,scCutTagPro_Zhang_2021,20,raw
186,Signac,830,0.1,0.1836789353947582,H3K9me3,scCutTagPro_Zhang_2021,20,raw
187,SnapATAC,830,0.1,0.1985161745246883,H3K9me3,scCutTagPro_Zhang_2021,20,raw
188,cisTopic,830,0.1,0.1950247521879425,H3K9me3,scCutTagPro_Zhang_2021,20,raw
189,Chromscape_LSI,8,0.001,0.002242894990366,H3K9me3,scCutTagPro_Zhang_2021,PseudoBulk,raw
190,Chromscape_PCA,8,0.001,0.0020622591522157,H3K9me3,scCutTagPro_Zhang_2021,PseudoBulk,raw
191,Signac,8,0.001,0.0025439547206165,H3K9me3,scCutTagPro_Zhang_2021,PseudoBulk,raw
192,SnapATAC,8,0.001,0.0028299614643545,H3K9me3,scCutTagPro_Zhang_2021,PseudoBulk,raw
193,Chromscape_LSI,25,0.003,0.0064836223506743,H3K9me3,scCutTagPro_Zhang_2021,PseudoBulk,raw
194,Chromscape_PCA,25,0.003,0.0059922928709055,H3K9me3,scCutTagPro_Zhang_2021,PseudoBulk,raw
195,Signac,25,0.003,0.0071339113680154,H3K9me3,scCutTagPro_Zhang_2021,PseudoBulk,raw
196,SnapATAC,25,0.003,0.0078564547206165,H3K9me3,scCutTagPro_Zhang_2021,PseudoBulk,raw
197,Chromscape_LSI,42,0.005,0.0099865813377374,H3K9me3,scCutTagPro_Zhang_2021,PseudoBulk,raw
198,Chromscape_PCA,42,0.005,0.0096826543719607,H3K9me3,scCutTagPro_Zhang_2021,PseudoBulk,raw
199,Signac,42,0.005,0.0113169786218919,H3K9me3,scCutTagPro_Zhang_2021,PseudoBulk,raw
200,SnapATAC,42,0.005,0.0128824892191944,H3K9me3,scCutTagPro_Zhang_2021,PseudoBulk,raw
201,Chromscape_LSI,83,0.01,0.0185844534206188,H3K9me3,scCutTagPro_Zhang_2021,PseudoBulk,raw
202,Chromscape_PCA,83,0.01,0.018324744062957,H3K9me3,scCutTagPro_Zhang_2021,PseudoBulk,raw
203,Signac,83,0.01,0.020223959421501,H3K9me3,scCutTagPro_Zhang_2021,PseudoBulk,raw
204,SnapATAC,83,0.01,0.0237539754393295,H3K9me3,scCutTagPro_Zhang_2021,PseudoBulk,raw
205,Chromscape_LSI,249,0.03,0.0493075384389194,H3K9me3,scCutTagPro_Zhang_2021,PseudoBulk,raw
206,Chromscape_PCA,249,0.03,0.0504266584643003,H3K9me3,scCutTagPro_Zhang_2021,PseudoBulk,raw
207,Signac,249,0.03,0.0530401954639366,H3K9me3,scCutTagPro_Zhang_2021,PseudoBulk,raw
208,SnapATAC,249,0.03,0.0623670017255921,H3K9me3,scCutTagPro_Zhang_2021,PseudoBulk,raw
209,Chromscape_LSI,415,0.05,0.0778666689880911,H3K9me3,scCutTagPro_Zhang_2021,PseudoBulk,raw
210,Chromscape_PCA,415,0.05,0.0800398124289063,H3K9me3,scCutTagPro_Zhang_2021,PseudoBulk,raw
211,Signac,415,0.05,0.081851684193421,H3K9me3,scCutTagPro_Zhang_2021,PseudoBulk,raw
212,SnapATAC,415,0.05,0.0977453165262204,H3K9me3,scCutTagPro_Zhang_2021,PseudoBulk,raw
213,Chromscape_LSI,830,0.1,0.1414552719548715,H3K9me3,scCutTagPro_Zhang_2021,PseudoBulk,raw
214,Chromscape_PCA,830,0.1,0.1450759686143417,H3K9me3,scCutTagPro_Zhang_2021,PseudoBulk,raw
215,Signac,830,0.1,0.1460104870348446,H3K9me3,scCutTagPro_Zhang_2021,PseudoBulk,raw
216,SnapATAC,830,0.1,0.1758103222137103,H3K9me3,scCutTagPro_Zhang_2021,PseudoBulk,raw
217,Chromscape_LSI,8,0.001,0.0040342003853564,H3K9me3,scCutTagPro_Zhang_2021,100,raw
218,Chromscape_PCA,8,0.001,0.0024235308285163,H3K9me3,scCutTagPro_Zhang_2021,100,raw
219,Signac,8,0.001,0.0032514450867052,H3K9me3,scCutTagPro_Zhang_2021,100,raw
220,SnapATAC,8,0.001,0.0040492533718689,H3K9me3,scCutTagPro_Zhang_2021,100,raw
221,cisTopic,8,0.001,0.0034621868978805,H3K9me3,scCutTagPro_Zhang_2021,100,raw
222,Chromscape_LSI,25,0.003,0.0115558766859344,H3K9me3,scCutTagPro_Zhang_2021,100,raw
223,Chromscape_PCA,25,0.003,0.0067533718689788,H3K9me3,scCutTagPro_Zhang_2021,100,raw
224,Signac,25,0.003,0.0080250481695568,H3K9me3,scCutTagPro_Zhang_2021,100,raw
225,SnapATAC,25,0.003,0.0109537572254335,H3K9me3,scCutTagPro_Zhang_2021,100,raw
226,cisTopic,25,0.003,0.0096050096339113,H3K9me3,scCutTagPro_Zhang_2021,100,raw
227,Chromscape_LSI,42,0.005,0.0182413524176529,H3K9me3,scCutTagPro_Zhang_2021,100,raw
228,Chromscape_PCA,42,0.005,0.0111019359574272,H3K9me3,scCutTagPro_Zhang_2021,100,raw
229,Signac,42,0.005,0.0125068813652628,H3K9me3,scCutTagPro_Zhang_2021,100,raw
230,SnapATAC,42,0.005,0.0175102073584732,H3K9me3,scCutTagPro_Zhang_2021,100,raw
231,cisTopic,42,0.005,0.015316772180934,H3K9me3,scCutTagPro_Zhang_2021,100,raw
232,Chromscape_LSI,83,0.01,0.0321778443252779,H3K9me3,scCutTagPro_Zhang_2021,100,raw
233,Chromscape_PCA,83,0.01,0.0199569956125078,H3K9me3,scCutTagPro_Zhang_2021,100,raw
234,Signac,83,0.01,0.0226962764352206,H3K9me3,scCutTagPro_Zhang_2021,100,raw
235,SnapATAC,83,0.01,0.0312536272256656,H3K9me3,scCutTagPro_Zhang_2021,100,raw
236,cisTopic,83,0.01,0.0282328736912969,H3K9me3,scCutTagPro_Zhang_2021,100,raw
237,Chromscape_LSI,249,0.03,0.0801307348855924,H3K9me3,scCutTagPro_Zhang_2021,100,raw
238,Chromscape_PCA,249,0.03,0.0511255039425524,H3K9me3,scCutTagPro_Zhang_2021,100,raw
239,Signac,249,0.03,0.0582977381588009,H3K9me3,scCutTagPro_Zhang_2021,100,raw
240,SnapATAC,249,0.03,0.0792263466196191,H3K9me3,scCutTagPro_Zhang_2021,100,raw
241,cisTopic,249,0.03,0.0753070083803421,H3K9me3,scCutTagPro_Zhang_2021,100,raw
242,Chromscape_LSI,415,0.05,0.1203707895164473,H3K9me3,scCutTagPro_Zhang_2021,100,raw
243,Chromscape_PCA,415,0.05,0.0785871810943194,H3K9me3,scCutTagPro_Zhang_2021,100,raw
244,Signac,415,0.05,0.0895402418924252,H3K9me3,scCutTagPro_Zhang_2021,100,raw
245,SnapATAC,415,0.05,0.1210506766952201,H3K9me3,scCutTagPro_Zhang_2021,100,raw
246,cisTopic,415,0.05,0.1172362861852032,H3K9me3,scCutTagPro_Zhang_2021,100,raw
247,Chromscape_LSI,830,0.1,0.2051878032360656,H3K9me3,scCutTagPro_Zhang_2021,100,raw
248,Chromscape_PCA,830,0.1,0.140141635907793,H3K9me3,scCutTagPro_Zhang_2021,100,raw
249,Signac,830,0.1,0.1584286568238271,H3K9me3,scCutTagPro_Zhang_2021,100,raw
250,SnapATAC,830,0.1,0.2108214650509552,H3K9me3,scCutTagPro_Zhang_2021,100,raw
251,cisTopic,830,0.1,0.2072461812568191,H3K9me3,scCutTagPro_Zhang_2021,100,raw
252,Chromscape_LSI,8,0.001,0.0048320086705202,H3K9me3,scCutTagPro_Zhang_2021,300,raw
253,Chromscape_PCA,8,0.001,0.002212789017341,H3K9me3,scCutTagPro_Zhang_2021,300,raw
254,Signac,8,0.001,0.002242894990366,H3K9me3,scCutTagPro_Zhang_2021,300,raw
255,SnapATAC,8,0.001,0.0045008429672447,H3K9me3,scCutTagPro_Zhang_2021,300,raw
256,cisTopic,8,0.001,0.0034621868978805,H3K9me3,scCutTagPro_Zhang_2021,300,raw
