,Method,K,fraction,frac. shared neighbors,Mark,Dataset,binsize,feature_selection
126,Chromscape_LSI,2,0.001,0.0125,H3K9me3,PairedTag_Zhu_2021,500,sampled_cell_n_2000
127,Chromscape_LSI,6,0.003,0.0275833333333333,H3K9me3,PairedTag_Zhu_2021,500,sampled_cell_n_2000
128,Chromscape_LSI,10,0.005,0.0412,H3K9me3,PairedTag_Zhu_2021,500,sampled_cell_n_2000
129,Chromscape_LSI,20,0.01,0.065275,H3K9me3,PairedTag_Zhu_2021,500,sampled_cell_n_2000
130,Chromscape_LSI,60,0.03,0.1313,H3K9me3,PairedTag_Zhu_2021,500,sampled_cell_n_2000
131,Chromscape_LSI,100,0.05,0.168265,H3K9me3,PairedTag_Zhu_2021,500,sampled_cell_n_2000
132,Chromscape_LSI,200,0.1,0.228085,H3K9me3,PairedTag_Zhu_2021,500,sampled_cell_n_2000
133,Chromscape_LSI,2,0.001,0.00775,H3K9me3,PairedTag_Zhu_2021,1000,sampled_cell_n_2000
134,Chromscape_LSI,6,0.003,0.0200833333333333,H3K9me3,PairedTag_Zhu_2021,1000,sampled_cell_n_2000
135,Chromscape_LSI,10,0.005,0.0297,H3K9me3,PairedTag_Zhu_2021,1000,sampled_cell_n_2000
136,Chromscape_LSI,20,0.01,0.04895,H3K9me3,PairedTag_Zhu_2021,1000,sampled_cell_n_2000
137,Chromscape_LSI,60,0.03,0.09765,H3K9me3,PairedTag_Zhu_2021,1000,sampled_cell_n_2000
138,Chromscape_LSI,100,0.05,0.128255,H3K9me3,PairedTag_Zhu_2021,1000,sampled_cell_n_2000
139,Chromscape_LSI,200,0.1,0.1845775,H3K9me3,PairedTag_Zhu_2021,1000,sampled_cell_n_2000
140,Chromscape_LSI,2,0.001,0.004,H3K9me3,PairedTag_Zhu_2021,10,sampled_cell_n_2000
141,Chromscape_LSI,6,0.003,0.0084166666666666,H3K9me3,PairedTag_Zhu_2021,10,sampled_cell_n_2000
142,Chromscape_LSI,10,0.005,0.0129,H3K9me3,PairedTag_Zhu_2021,10,sampled_cell_n_2000
143,Chromscape_LSI,20,0.01,0.02225,H3K9me3,PairedTag_Zhu_2021,10,sampled_cell_n_2000
144,Chromscape_LSI,60,0.03,0.0536333333333333,H3K9me3,PairedTag_Zhu_2021,10,sampled_cell_n_2000
145,Chromscape_LSI,100,0.05,0.08051,H3K9me3,PairedTag_Zhu_2021,10,sampled_cell_n_2000
146,Chromscape_LSI,200,0.1,0.13851,H3K9me3,PairedTag_Zhu_2021,10,sampled_cell_n_2000
147,Chromscape_LSI,2,0.001,0.0105,H3K9me3,PairedTag_Zhu_2021,50,sampled_cell_n_2000
148,Chromscape_LSI,6,0.003,0.02275,H3K9me3,PairedTag_Zhu_2021,50,sampled_cell_n_2000
149,Chromscape_LSI,10,0.005,0.0343,H3K9me3,PairedTag_Zhu_2021,50,sampled_cell_n_2000
150,Chromscape_LSI,20,0.01,0.05395,H3K9me3,PairedTag_Zhu_2021,50,sampled_cell_n_2000
151,Chromscape_LSI,60,0.03,0.10815,H3K9me3,PairedTag_Zhu_2021,50,sampled_cell_n_2000
152,Chromscape_LSI,100,0.05,0.145595,H3K9me3,PairedTag_Zhu_2021,50,sampled_cell_n_2000
153,Chromscape_LSI,200,0.1,0.211755,H3K9me3,PairedTag_Zhu_2021,50,sampled_cell_n_2000
154,Chromscape_LSI,2,0.001,0.005,H3K9me3,PairedTag_Zhu_2021,20,sampled_cell_n_2000
155,Chromscape_LSI,6,0.003,0.0109166666666666,H3K9me3,PairedTag_Zhu_2021,20,sampled_cell_n_2000
156,Chromscape_LSI,10,0.005,0.0176,H3K9me3,PairedTag_Zhu_2021,20,sampled_cell_n_2000
157,Chromscape_LSI,20,0.01,0.030725,H3K9me3,PairedTag_Zhu_2021,20,sampled_cell_n_2000
158,Chromscape_LSI,60,0.03,0.0710583333333333,H3K9me3,PairedTag_Zhu_2021,20,sampled_cell_n_2000
159,Chromscape_LSI,100,0.05,0.10158,H3K9me3,PairedTag_Zhu_2021,20,sampled_cell_n_2000
160,Chromscape_LSI,200,0.1,0.1619425,H3K9me3,PairedTag_Zhu_2021,20,sampled_cell_n_2000
161,Chromscape_LSI,2,0.001,0.01325,H3K9me3,PairedTag_Zhu_2021,100,sampled_cell_n_2000
162,Chromscape_LSI,6,0.003,0.0264166666666666,H3K9me3,PairedTag_Zhu_2021,100,sampled_cell_n_2000
163,Chromscape_LSI,10,0.005,0.0443,H3K9me3,PairedTag_Zhu_2021,100,sampled_cell_n_2000
164,Chromscape_LSI,20,0.01,0.07035,H3K9me3,PairedTag_Zhu_2021,100,sampled_cell_n_2000
165,Chromscape_LSI,60,0.03,0.1376083333333333,H3K9me3,PairedTag_Zhu_2021,100,sampled_cell_n_2000
166,Chromscape_LSI,100,0.05,0.178375,H3K9me3,PairedTag_Zhu_2021,100,sampled_cell_n_2000
167,Chromscape_LSI,200,0.1,0.24442,H3K9me3,PairedTag_Zhu_2021,100,sampled_cell_n_2000
168,Chromscape_LSI,2,0.001,0.0125,H3K9me3,PairedTag_Zhu_2021,300,sampled_cell_n_2000
169,Chromscape_LSI,6,0.003,0.0305833333333333,H3K9me3,PairedTag_Zhu_2021,300,sampled_cell_n_2000
170,Chromscape_LSI,10,0.005,0.04515,H3K9me3,PairedTag_Zhu_2021,300,sampled_cell_n_2000
171,Chromscape_LSI,20,0.01,0.073725,H3K9me3,PairedTag_Zhu_2021,300,sampled_cell_n_2000
172,Chromscape_LSI,60,0.03,0.1442416666666666,H3K9me3,PairedTag_Zhu_2021,300,sampled_cell_n_2000
173,Chromscape_LSI,100,0.05,0.1831,H3K9me3,PairedTag_Zhu_2021,300,sampled_cell_n_2000
174,Chromscape_LSI,200,0.1,0.2453975,H3K9me3,PairedTag_Zhu_2021,300,sampled_cell_n_2000
175,Chromscape_LSI,2,0.001,0.0145,H3K9me3,PairedTag_Zhu_2021,200,sampled_cell_n_2000
176,Chromscape_LSI,6,0.003,0.0299166666666666,H3K9me3,PairedTag_Zhu_2021,200,sampled_cell_n_2000
177,Chromscape_LSI,10,0.005,0.04675,H3K9me3,PairedTag_Zhu_2021,200,sampled_cell_n_2000
178,Chromscape_LSI,20,0.01,0.07645,H3K9me3,PairedTag_Zhu_2021,200,sampled_cell_n_2000
179,Chromscape_LSI,60,0.03,0.1516166666666666,H3K9me3,PairedTag_Zhu_2021,200,sampled_cell_n_2000
180,Chromscape_LSI,100,0.05,0.19252,H3K9me3,PairedTag_Zhu_2021,200,sampled_cell_n_2000
181,Chromscape_LSI,200,0.1,0.255205,H3K9me3,PairedTag_Zhu_2021,200,sampled_cell_n_2000
182,Chromscape_LSI,2,0.001,0.00575,H3K9me3,PairedTag_Zhu_2021,30,sampled_cell_n_2000
183,Chromscape_LSI,6,0.003,0.0183333333333333,H3K9me3,PairedTag_Zhu_2021,30,sampled_cell_n_2000
