,Method,K,fraction,frac. shared neighbors,Mark,Dataset,binsize,feature_selection
93,TFIDF-NMF,325,0.03,0.1790166958767641,H3K9me3,PairedTag_Zhu_2021,300,filtered_cell_q_10_100
94,NMF,542,0.05,0.1382354673099355,H3K9me3,PairedTag_Zhu_2021,300,filtered_cell_q_10_100
95,TFIDF-NMF,542,0.05,0.2280271594340332,H3K9me3,PairedTag_Zhu_2021,300,filtered_cell_q_10_100
96,NMF,1084,0.1,0.2017778959267316,H3K9me3,PairedTag_Zhu_2021,300,filtered_cell_q_10_100
97,TFIDF-NMF,1084,0.1,0.2980599140001178,H3K9me3,PairedTag_Zhu_2021,300,filtered_cell_q_10_100
98,NMF,11,0.001,0.0089558997408826,H3K9me3,PairedTag_Zhu_2021,200,filtered_cell_q_10_100
99,TFIDF-NMF,11,0.001,0.0203771876126824,H3K9me3,PairedTag_Zhu_2021,200,filtered_cell_q_10_100
100,NMF,33,0.003,0.0210005227070073,H3K9me3,PairedTag_Zhu_2021,200,filtered_cell_q_10_100
101,TFIDF-NMF,33,0.003,0.0447571369073075,H3K9me3,PairedTag_Zhu_2021,200,filtered_cell_q_10_100
102,NMF,54,0.005,0.029715722548487,H3K9me3,PairedTag_Zhu_2021,200,filtered_cell_q_10_100
103,TFIDF-NMF,54,0.005,0.0633688295804336,H3K9me3,PairedTag_Zhu_2021,200,filtered_cell_q_10_100
104,NMF,108,0.01,0.0480719627477306,H3K9me3,PairedTag_Zhu_2021,200,filtered_cell_q_10_100
105,TFIDF-NMF,108,0.01,0.1005664367439111,H3K9me3,PairedTag_Zhu_2021,200,filtered_cell_q_10_100
106,NMF,325,0.03,0.1018969297467591,H3K9me3,PairedTag_Zhu_2021,200,filtered_cell_q_10_100
107,TFIDF-NMF,325,0.03,0.1892502110932145,H3K9me3,PairedTag_Zhu_2021,200,filtered_cell_q_10_100
108,NMF,542,0.05,0.13919669452206,H3K9me3,PairedTag_Zhu_2021,200,filtered_cell_q_10_100
109,TFIDF-NMF,542,0.05,0.2394580707175949,H3K9me3,PairedTag_Zhu_2021,200,filtered_cell_q_10_100
110,NMF,1084,0.1,0.2064572412166331,H3K9me3,PairedTag_Zhu_2021,200,filtered_cell_q_10_100
111,TFIDF-NMF,1084,0.1,0.3092451575285977,H3K9me3,PairedTag_Zhu_2021,200,filtered_cell_q_10_100
112,NMF,11,0.001,0.0059370571315963,H3K9me3,PairedTag_Zhu_2021,30,filtered_cell_q_10_100
113,TFIDF-NMF,11,0.001,0.0199327468952042,H3K9me3,PairedTag_Zhu_2021,30,filtered_cell_q_10_100
114,NMF,33,0.003,0.0137860479157407,H3K9me3,PairedTag_Zhu_2021,30,filtered_cell_q_10_100
115,TFIDF-NMF,33,0.003,0.0452966152624855,H3K9me3,PairedTag_Zhu_2021,30,filtered_cell_q_10_100
116,NMF,54,0.005,0.0201925474963017,H3K9me3,PairedTag_Zhu_2021,30,filtered_cell_q_10_100
117,TFIDF-NMF,54,0.005,0.0636148093485977,H3K9me3,PairedTag_Zhu_2021,30,filtered_cell_q_10_100
118,NMF,108,0.01,0.0339913292131722,H3K9me3,PairedTag_Zhu_2021,30,filtered_cell_q_10_100
119,TFIDF-NMF,108,0.01,0.1013376858086755,H3K9me3,PairedTag_Zhu_2021,30,filtered_cell_q_10_100
120,NMF,325,0.03,0.0751750122398586,H3K9me3,PairedTag_Zhu_2021,30,filtered_cell_q_10_100
121,TFIDF-NMF,325,0.03,0.1933236360540114,H3K9me3,PairedTag_Zhu_2021,30,filtered_cell_q_10_100
122,NMF,542,0.05,0.1049912676047708,H3K9me3,PairedTag_Zhu_2021,30,filtered_cell_q_10_100
