,Method,Mark,Dataset,binsize,feature_selection,kmeans_ami,kmeans_ari,ward_ami,ward_ari,silhouette
77,PeakVI,H3K4me3,scChIP_Grosselin_2019,50,raw,0.996026716420924,0.9986849787248993,0.996026716420924,0.9986849787248993,0.3730375331315144
78,SCALE,H3K4me3,scChIP_Grosselin_2019,50,raw,0.996026716420924,0.9986849787248993,0.996026716420924,0.9986849787248993,0.5396604321900986
79,NMF,H3K4me3,scChIP_Grosselin_2019,50,raw,0.0633254151382381,-0.0073721061124111,0.1115850267859159,-0.0002190820469547,0.2747507991585222
80,TFIDF-NMF,H3K4me3,scChIP_Grosselin_2019,50,raw,0.9890091497887684,0.9960575353504556,0.9554746192824132,0.97776263476759,0.3295057356788589
81,Chromscape_LSI,H3K4me3,scChIP_Grosselin_2019,20,raw,0.9363266440827194,0.9673831090766106,0.9875027480192408,0.9954012172027272,0.4318884317202361
82,Chromscape_PCA,H3K4me3,scChIP_Grosselin_2019,20,raw,-4.064983015273738e-05,-5.6427784005098615e-05,-4.064983015273738e-05,-5.6427784005098615e-05,0.0302965013805276
83,Signac,H3K4me3,scChIP_Grosselin_2019,20,raw,0.020551322400272,-0.0064963429330306,0.0243444868350889,-0.0057664631738282,0.0185147440469542
84,SnapATAC,H3K4me3,scChIP_Grosselin_2019,20,raw,0.9921785726180712,0.9973708224531036,0.9896544464048536,0.996057539486796,0.7491139880442256
85,cisTopic,H3K4me3,scChIP_Grosselin_2019,20,raw,0.996026716420924,0.9986849787248993,0.996026716420924,0.9986849787248993,0.6659050914183671
86,PeakVI,H3K4me3,scChIP_Grosselin_2019,20,raw,0.996026716420924,0.9986849787248993,0.996026716420924,0.9986849787248993,0.4009250849756224
87,SCALE,H3K4me3,scChIP_Grosselin_2019,20,raw,0.996026716420924,0.9986849787248993,0.996026716420924,0.9986849787248993,0.5452611148418899
88,NMF,H3K4me3,scChIP_Grosselin_2019,20,raw,0.1020819752664466,-0.0027717690252095,0.9921785726180712,0.9973708224531036,0.3647782805871075
89,TFIDF-NMF,H3K4me3,scChIP_Grosselin_2019,20,raw,0.9870458565017628,0.9954012025730606,0.9237631528084131,0.9589909394729416,0.3196472328195099
90,Chromscape_LSI,H3K4me3,scChIP_Grosselin_2019,100,raw,0.959260897390428,0.9816681953232188,0.9881879746656694,0.9954012220104572,0.4082400935205
91,Chromscape_PCA,H3K4me3,scChIP_Grosselin_2019,100,raw,-4.064983015273738e-05,-5.6427784005098615e-05,-4.064983015273738e-05,-5.6427784005098615e-05,0.0288549044463229
92,Signac,H3K4me3,scChIP_Grosselin_2019,100,raw,0.0251064039765687,-0.0057111322523373,0.0126751101457218,-0.0051970616681397,0.0141064950243223
93,SnapATAC,H3K4me3,scChIP_Grosselin_2019,100,raw,0.996026716420924,0.9986849787248993,0.996026716420924,0.9986849787248993,0.7473141178089839
94,cisTopic,H3K4me3,scChIP_Grosselin_2019,100,raw,0.996026716420924,0.9986849787248993,0.996026716420924,0.9986849787248993,0.5982898211153965
95,PeakVI,H3K4me3,scChIP_Grosselin_2019,100,raw,0.996026716420924,0.9986849787248993,0.9938746491686816,0.9980277914160794,0.4657262115962925
96,SCALE,H3K4me3,scChIP_Grosselin_2019,100,raw,0.996026716420924,0.9986849787248993,0.996026716420924,0.9986849787248993,0.550702441227567
97,NMF,H3K4me3,scChIP_Grosselin_2019,100,raw,0.0765936485927174,-0.0062768803390669,0.0680312131599078,-0.0072717044092695,0.2564911606857132
98,TFIDF-NMF,H3K4me3,scChIP_Grosselin_2019,100,raw,0.9778354558363,0.9908130639937596,0.986036371458532,0.9947451159853624,0.2971280305295984
99,Chromscape_LSI,H3K4me3,scChIP_Grosselin_2019,300,raw,0.9530045547830612,0.9777619063385335,0.9804750559315693,0.9921228803391406,0.4012316891457907
100,Chromscape_PCA,H3K4me3,scChIP_Grosselin_2019,300,raw,0.0011080988639185,0.0042368828853352,0.000958808556622,0.0035851892917833,0.0280925820047163
101,Signac,H3K4me3,scChIP_Grosselin_2019,300,raw,0.0264724307565084,-0.0034689553505334,-0.0001791810176138,-0.0002267652719882,0.0146683619067443
102,SnapATAC,H3K4me3,scChIP_Grosselin_2019,300,raw,0.996026716420924,0.9986849787248993,0.996026716420924,0.9986849787248993,0.7117843993219023
103,cisTopic,H3K4me3,scChIP_Grosselin_2019,300,raw,0.996026716420924,0.9986849787248993,0.996026716420924,0.9986849787248993,0.5584032132777694
104,PeakVI,H3K4me3,scChIP_Grosselin_2019,300,raw,0.9911609424149364,0.996714073892384,0.9943305500594728,0.9980277935074076,0.3491974949627486
105,SCALE,H3K4me3,scChIP_Grosselin_2019,300,raw,0.996026716420924,0.9986849787248993,0.996026716420924,0.9986849787248993,0.5425595390785962
106,NMF,H3K4me3,scChIP_Grosselin_2019,300,raw,0.0850842273091347,0.0038576296656183,0.1935562684859678,0.0474335116451163,0.1797270740450674
107,TFIDF-NMF,H3K4me3,scChIP_Grosselin_2019,300,raw,0.9854908469522414,0.994745093696206,0.9927155593767852,0.9973708252312457,0.3298686620440149
108,Chromscape_LSI,H3K4me3,scChIP_Grosselin_2019,200,raw,0.966787009401076,0.9855821991898314,0.9896544464048536,0.996057539486796,0.4055316493417967
109,Chromscape_PCA,H3K4me3,scChIP_Grosselin_2019,200,raw,-4.064983015273738e-05,-5.6427784005098615e-05,-4.064983015273738e-05,-5.6427784005098615e-05,0.0217092821414952
110,Signac,H3K4me3,scChIP_Grosselin_2019,200,raw,0.0219324624933707,-0.0053505601180433,0.033909277101027,-0.0058580978174897,0.0141124585726848
111,SnapATAC,H3K4me3,scChIP_Grosselin_2019,200,raw,0.996026716420924,0.9986849787248993,0.996026716420924,0.9986849787248993,0.7302391616294422
112,cisTopic,H3K4me3,scChIP_Grosselin_2019,200,raw,0.996026716420924,0.9986849787248993,0.996026716420924,0.9986849787248993,0.519951732680886
113,PeakVI,H3K4me3,scChIP_Grosselin_2019,200,raw,0.996026716420924,0.9986849787248993,0.9938746491686816,0.9980277914160794,0.3273026391055043
114,SCALE,H3K4me3,scChIP_Grosselin_2019,200,raw,0.9927155593767852,0.9973708252312457,0.9927155593767852,0.9973708252312457,0.5417068674701523
