,Method,Mark,Dataset,binsize,feature_selection,kmeans_ami,kmeans_ari,ward_ami,ward_ari,silhouette
51,Signac,H3K9me3,PairedTag_Zhu_2021,30,raw,0.1898972991551612,0.0536209415586983,0.0001786740077237,6.422607935138215e-05,-0.1886892992246087
52,SnapATAC,H3K9me3,PairedTag_Zhu_2021,30,raw,0.2234308445932636,0.0766847208162419,0.2103124466359749,0.0712763425416879,-0.0975739562558465
53,cisTopic,H3K9me3,PairedTag_Zhu_2021,30,raw,0.2363317675970049,0.0808538058392956,0.2179094532933009,0.0700876158925783,-0.0683356447532176
54,PeakVI,H3K9me3,PairedTag_Zhu_2021,30,raw,0.1813993128067466,0.0670065897484935,0.1588695500718299,0.0593768918994953,-0.0478165433606712
55,SCALE,H3K9me3,PairedTag_Zhu_2021,30,raw,0.1987958620232043,0.0724002449349059,0.1825715510386676,0.0648888576151782,-0.0941037681785135
56,Chromscape_LSI,H3K27ac,PairedTag_Zhu_2021,500,raw,0.5467824737460909,0.3184541157465756,0.557262191360693,0.349798425125196,0.0363425200847901
57,Chromscape_PCA,H3K27ac,PairedTag_Zhu_2021,500,raw,0.5181421183399904,0.309637506172835,0.4860451451850476,0.2714366682421432,0.019433973791616
58,Signac,H3K27ac,PairedTag_Zhu_2021,500,raw,0.6231105186657038,0.3724338249227543,0.5880885425337629,0.3714707481092658,0.0037406170881289
59,SnapATAC,H3K27ac,PairedTag_Zhu_2021,500,raw,0.4581461927598214,0.2283043927410421,0.4676841118519844,0.2276627232847698,-0.0134415086113557
60,cisTopic,H3K27ac,PairedTag_Zhu_2021,500,raw,0.5079412715844944,0.281207670265518,0.4960254955280648,0.2954033772402876,0.0110245942720313
61,PeakVI,H3K27ac,PairedTag_Zhu_2021,500,raw,0.5651713569443748,0.3651938516164738,0.5575434076949443,0.3905846051554536,0.0465800429639021
62,SCALE,H3K27ac,PairedTag_Zhu_2021,500,raw,0.4719358779318724,0.2580257628703838,0.4660512058191629,0.2664016858093629,-0.0085111123748336
