,Method,Mark,Dataset,binsize,feature_selection,kmeans_ami,kmeans_ari,ward_ami,ward_ari,silhouette
53,Chromscape_LSI,H3K9me3,scCutTagPro_Zhang_2021,SicerPseudoBulk2000,raw,0.0501659795400982,0.0061250989226217,0.0295035584793731,0.0055208813390418,-0.071802379933398
54,Chromscape_PCA,H3K9me3,scCutTagPro_Zhang_2021,SicerPseudoBulk2000,raw,0.0476892089112591,0.0122430862917832,0.0399846141594285,0.0103898422609006,-0.0644377071835995
55,Signac,H3K9me3,scCutTagPro_Zhang_2021,SicerPseudoBulk2000,raw,0.0353948780519837,-0.0100012022875283,0.0398145222622713,-0.0152795838024507,-0.0912194983802367
56,SnapATAC,H3K9me3,scCutTagPro_Zhang_2021,SicerPseudoBulk2000,raw,0.071161254497542,0.0099043484273646,0.0552514741552048,0.0003306874633426,-0.0620486063400981
57,PeakVI,H3K9me3,scCutTagPro_Zhang_2021,SicerPseudoBulk2000,raw,0.1794001980279156,0.1740691675373543,0.1447556965877155,0.1474145670340244,-0.0030516487045105
58,SCALE,H3K9me3,scCutTagPro_Zhang_2021,SicerPseudoBulk2000,raw,0.0871042194608915,0.0353890712297543,0.0829498305902964,0.0281674519809808,-0.0986738483395301
59,NMF,H3K9me3,scCutTagPro_Zhang_2021,SicerPseudoBulk2000,raw,0.0404917389071432,-0.0163085723168124,0.0399963358006604,-0.0168742794194879,-0.134821655176434
60,TFIDF-NMF,H3K9me3,scCutTagPro_Zhang_2021,SicerPseudoBulk2000,raw,0.1616393431496972,0.1290604315903103,0.1039363880000359,0.078953451365138,-0.0500564710335158
61,Chromscape_LSI,H3K9me3,scCutTagPro_Zhang_2021,100,raw,0.1902631773848349,0.1440896081705276,0.2729549834931362,0.2387690322911937,-0.0934765511401475
62,Chromscape_PCA,H3K9me3,scCutTagPro_Zhang_2021,100,raw,0.0876455655191771,0.0911529709716143,0.0467367470992195,0.057493193123032,-0.0839269195617333
63,Signac,H3K9me3,scCutTagPro_Zhang_2021,100,raw,0.3369557985798893,0.2416040271700437,0.0213810205748314,-0.0098112681478177,-0.1200321975015787
64,SnapATAC,H3K9me3,scCutTagPro_Zhang_2021,100,raw,0.2956253342736391,0.2288292773751562,0.2838554479983682,0.1815719952667125,-0.0902755493005383
65,cisTopic,H3K9me3,scCutTagPro_Zhang_2021,100,raw,0.2957814250100761,0.184095237972144,0.2747471542997386,0.1596018853570965,-0.0419435366782358
66,NMF,H3K9me3,scCutTagPro_Zhang_2021,100,raw,0.1405571899256245,0.0716942611018612,0.0969362651236325,-0.0105159098096133,-0.168010391537045
67,TFIDF-NMF,H3K9me3,scCutTagPro_Zhang_2021,100,raw,0.252897690900818,0.2259777954454577,0.2427362654515333,0.2294320412337755,-0.0505475766872859
68,Chromscape_LSI,H3K9me3,scCutTagPro_Zhang_2021,300,raw,0.2377577147171747,0.181247698406086,0.2828046651600734,0.2541624064598726,-0.0692193576501677
69,Chromscape_PCA,H3K9me3,scCutTagPro_Zhang_2021,300,raw,0.0484391818531442,0.0481688389846069,0.0296843258102244,0.0169111515229239,-0.0812145954754276
70,Signac,H3K9me3,scCutTagPro_Zhang_2021,300,raw,0.257956753426035,0.2235240474149641,0.0346158985764951,-0.0112951447163024,-0.064799529492826
71,SnapATAC,H3K9me3,scCutTagPro_Zhang_2021,300,raw,0.2904269708402229,0.2138372061391319,0.2860918403448625,0.2220956149420151,-0.081520503751153
72,cisTopic,H3K9me3,scCutTagPro_Zhang_2021,300,raw,0.2914617770215448,0.1892446874999339,0.2763983456881225,0.1881211263125939,-0.0410449902799326
73,NMF,H3K9me3,scCutTagPro_Zhang_2021,300,raw,0.1928153707492607,0.1494468416623961,0.224528781441133,0.1685024261191662,-0.1302531999927927
74,TFIDF-NMF,H3K9me3,scCutTagPro_Zhang_2021,300,raw,0.2616404529372535,0.2282212282617788,0.2485695578389057,0.2083768208148802,-0.0508667535313966
75,Chromscape_LSI,H3K9me3,scCutTagPro_Zhang_2021,SicerPseudoBulk500,raw,0.0300726386428563,-0.0045344327472965,0.015026130147741,-0.0048421099946372,-0.0891500621203712
76,Chromscape_PCA,H3K9me3,scCutTagPro_Zhang_2021,SicerPseudoBulk500,raw,0.0284490485686262,0.002963985348308,0.0171447089877749,-0.0012680768356521,-0.0749320727142664
77,Signac,H3K9me3,scCutTagPro_Zhang_2021,SicerPseudoBulk500,raw,0.0398191630171807,-0.0132307349235819,0.0476435916493422,-0.0162012605526324,-0.1235889003735725
78,SnapATAC,H3K9me3,scCutTagPro_Zhang_2021,SicerPseudoBulk500,raw,0.0588496484492536,-0.0096680727201062,0.0472872014103797,0.0037708306965315,-0.0895544545696816
79,PeakVI,H3K9me3,scCutTagPro_Zhang_2021,SicerPseudoBulk500,raw,0.0975822993707371,0.0768841356957969,0.075581972022443,0.05140776754053,-0.0040470909044045
80,SCALE,H3K9me3,scCutTagPro_Zhang_2021,SicerPseudoBulk500,raw,0.0501799080602329,0.0094321596833274,0.0494519371879675,0.0099277869996931,-0.0648736379597801
81,NMF,H3K9me3,scCutTagPro_Zhang_2021,SicerPseudoBulk500,raw,0.0520089703624851,-0.0124850095612818,0.0551145357428256,-0.0191034314052913,-0.1228522775071458
82,TFIDF-NMF,H3K9me3,scCutTagPro_Zhang_2021,SicerPseudoBulk500,raw,0.0417324687941697,-0.0075639663176023,0.0488047338775221,-0.0019210564822182,-0.0618100659445447
83,Chromscape_LSI,H3K9me3,scCutTagPro_Zhang_2021,200,raw,0.2410760268840979,0.1788550229706695,0.2753657148769777,0.1810508831213272,-0.0767988412578416
84,Chromscape_PCA,H3K9me3,scCutTagPro_Zhang_2021,200,raw,0.0581773772713788,0.0632207045373736,0.0414344419344089,0.0322108336809191,-0.0816322650915534
