,Method,Mark,Dataset,binsize,feature_selection,kmeans_ami,kmeans_ari,ward_ami,ward_ari,silhouette,cosine_ami,cosine_ari
994,NMF,H3K27ac,PairedTag_Zhu_2021,1000,filtered_q_10,0.2472551050285477,0.0502310118593131,0.2963956505677707,0.0849755065052183,-0.1707464077623489,,
995,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,1000,filtered_q_10,0.5783231286586854,0.3483329443885177,0.5658299707355604,0.3376019172750295,0.04102000724442,,
996,NMF,H3K27ac,PairedTag_Zhu_2021,10,filtered_q_10,0.1803451084319935,0.0688955257072348,0.1699511953241807,0.0629168176245963,-0.334847658732082,,
997,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,10,filtered_q_10,0.5518345581000969,0.3177185898381622,0.5827419102984878,0.3726329635272636,0.0607879811597759,,
998,NMF,H3K27ac,PairedTag_Zhu_2021,50,filtered_q_10,0.2864802502351168,0.0728564725457718,0.3429010728942309,0.1221905426891094,-0.2191466571834171,,
999,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,50,filtered_q_10,0.5683602847750856,0.3558140488161069,0.5771731540868543,0.3608613264520541,0.0441872792826067,,
1000,NMF,H3K27ac,PairedTag_Zhu_2021,20,filtered_q_10,0.2549164315299841,0.0741165016385874,0.2948513906361519,0.0856850192669307,-0.2410432896647749,,
1001,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,20,filtered_q_10,0.5582952293327347,0.3311539898219645,0.5758385580760546,0.3714876125618208,0.0494892500041115,,
1002,NMF,H3K27ac,PairedTag_Zhu_2021,100,filtered_q_10,0.3218756824465485,0.0949273071459759,0.3374819392513718,0.1167912026673251,-0.1685610648611253,,
1003,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,100,filtered_q_10,0.5716812994051887,0.3362248929371507,0.5779677076102023,0.3465307174863066,0.0454171836507743,,
1004,NMF,H3K27ac,PairedTag_Zhu_2021,300,filtered_q_10,0.2947783133152189,0.0602532689401206,0.3275308050910929,0.1001436190178166,-0.1579167866053363,,
1005,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,300,filtered_q_10,0.5714075345324325,0.3639590659217885,0.5875974329217608,0.3830653065941166,0.0483680021776611,,
1006,NMF,H3K27ac,PairedTag_Zhu_2021,200,filtered_q_10,0.2850703868561074,0.0775082731126379,0.3049261382928822,0.0811043317747718,-0.1692660222556694,,
1007,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,200,filtered_q_10,0.5670052897982489,0.3324092951080593,0.5670111810918534,0.3262486854558842,0.0503967928063941,,
1008,NMF,H3K27ac,PairedTag_Zhu_2021,30,filtered_q_10,0.2376323357864138,0.0604152527978849,0.295434940834009,0.090531642683173,-0.2478682210847811,,
1009,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,30,filtered_q_10,0.5847551807499067,0.3803734749543897,0.6023055558429924,0.4004912747983031,0.0722172206112506,,
1010,NMF,H3K27ac,PairedTag_Zhu_2021,500,filtered_cell_q_30_80,0.5464178474761702,0.3276034656163724,0.5603101556418274,0.3514643475225513,0.0296784833594855,,
1011,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,500,filtered_cell_q_30_80,0.6082330457432517,0.4229404188730817,0.6035242935725376,0.3948491908351613,0.064905792191206,,
1012,NMF,H3K27ac,PairedTag_Zhu_2021,1000,filtered_cell_q_30_80,0.5544205383156501,0.3409200386134418,0.5673145446930843,0.3493764301231223,0.0255050072592766,,
1013,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,1000,filtered_cell_q_30_80,0.6043039821952052,0.4061546486228847,0.5984048874191318,0.4078996164766399,0.060346656985146,,
1014,NMF,H3K27ac,PairedTag_Zhu_2021,10,filtered_cell_q_30_80,0.453601246460964,0.2213321248745008,0.4484008435812324,0.2053650527954295,-0.0472480635706518,,
1015,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,10,filtered_cell_q_30_80,0.6083840769891725,0.3935758769989483,0.6039647573610158,0.4104280538606573,0.0852639270077712,,
1016,NMF,H3K27ac,PairedTag_Zhu_2021,50,filtered_cell_q_30_80,0.571770025929929,0.3452090891699218,0.5901749939021511,0.3715569420801339,0.0506644344891371,,
1017,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,50,filtered_cell_q_30_80,0.6343289514934866,0.454385343268974,0.6485633319348332,0.5254947676416114,0.1016716032037257,,
1018,NMF,H3K27ac,PairedTag_Zhu_2021,20,filtered_cell_q_30_80,0.4919259683114794,0.271442534782902,0.504248621778992,0.2878684624936501,-0.0113032279115737,,
1019,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,20,filtered_cell_q_30_80,0.6030204486443331,0.4169758881035903,0.6091157885270553,0.4761418397176054,0.0753801777082046,,
1020,NMF,H3K27ac,PairedTag_Zhu_2021,100,filtered_cell_q_30_80,0.5726049259507878,0.3722232051788255,0.5837126710905927,0.3614496213358099,0.0392026921928427,,
1021,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,100,filtered_cell_q_30_80,0.5970046245844188,0.4099462401779283,0.5969575493420032,0.410330603810976,0.0619077900710079,,
1022,NMF,H3K27ac,PairedTag_Zhu_2021,300,filtered_cell_q_30_80,0.5493636193661516,0.3327991798870826,0.5537590231776414,0.3578830851634682,0.0369223081190699,,
1023,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,300,filtered_cell_q_30_80,0.6168097018160713,0.4380596256869483,0.6070944453051846,0.4020394267654014,0.0695940717623564,,
1024,NMF,H3K27ac,PairedTag_Zhu_2021,200,filtered_cell_q_30_80,0.5629520725240434,0.3300689733490914,0.568681345849895,0.3428920933867792,0.0370296597901801,,
1025,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,200,filtered_cell_q_30_80,0.600119810872464,0.4037328758934129,0.6031226763545332,0.4009557317332466,0.0644525670754673,,
1026,NMF,H3K27ac,PairedTag_Zhu_2021,30,filtered_cell_q_30_80,0.5389895118034075,0.3072504965357237,0.5610350621310031,0.3891292101882612,0.0172703056051876,,
1027,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,30,filtered_cell_q_30_80,0.6241937715557053,0.4203029705200651,0.6297785282956592,0.4446653595916567,0.0940354261664123,,
1028,NMF,H3K27ac,PairedTag_Zhu_2021,500,filtered_hvg_10,0.3040591313055507,0.0930007370452973,0.2966799166740733,0.0845201690698044,-0.1532357949832218,,
1029,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,500,filtered_hvg_10,0.5711806015207604,0.3412931687290401,0.5686243517920977,0.3297727421498104,0.0482464063318049,,
1030,NMF,H3K27ac,PairedTag_Zhu_2021,1000,filtered_hvg_10,0.280317874121452,0.0690008737158565,0.2843688686468455,0.0616722835239189,-0.1356807200425851,,
1031,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,1000,filtered_hvg_10,0.563005526965389,0.3232214164065275,0.5565137573247141,0.3202533391165411,0.0321312640110856,,
1032,NMF,H3K27ac,PairedTag_Zhu_2021,10,filtered_hvg_10,0.1978474870015556,0.0554444187076196,0.2661799835561995,0.0946323251875176,-0.2645228397349521,,
1033,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,10,filtered_hvg_10,0.5575386154511728,0.3233494006296694,0.5647261819426692,0.3591883555598364,0.0559246776282024,,
1034,NMF,H3K27ac,PairedTag_Zhu_2021,50,filtered_hvg_10,0.2696085957605218,0.0711013025081229,0.2703994399983586,0.0630976715365921,-0.2219244480953614,,
1035,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,50,filtered_hvg_10,0.5221540694115873,0.3115934379148852,0.5455124337163034,0.3259349868369541,0.0373087711611699,,
1036,NMF,H3K27ac,PairedTag_Zhu_2021,20,filtered_hvg_10,0.1885004464601807,0.0572779120877861,0.2199898027681045,0.0886360376416616,-0.3123117991852324,,
1037,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,20,filtered_hvg_10,0.5466062455156203,0.334169651684664,0.5642373396592132,0.3588612481148899,0.0397857328225971,,
1038,NMF,H3K27ac,PairedTag_Zhu_2021,100,filtered_hvg_10,0.2864216763125667,0.0585184685060693,0.2496604049768972,0.0323373011517309,-0.1995566532382717,,
1039,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,100,filtered_hvg_10,0.5483623038870361,0.3237213280471073,0.5720601393795097,0.3577312576728806,0.0488000963118622,,
1040,NMF,H3K27ac,PairedTag_Zhu_2021,300,filtered_hvg_10,0.2432080250705889,0.0501081652772326,0.2581499457031534,0.0467971501992507,-0.1749630175170691,,
1041,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,300,filtered_hvg_10,0.57260936795515,0.3379304609297124,0.5482340551926902,0.3107924019348198,0.044272654203832,,
1042,NMF,H3K27ac,PairedTag_Zhu_2021,200,filtered_hvg_10,0.3163682543243273,0.0751669379832057,0.3140822533758044,0.0806730373540551,-0.185015293308147,,
1043,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,200,filtered_hvg_10,0.5569502125637714,0.3169921307955394,0.5845532493053766,0.3565788129725938,0.0410840501416499,,
1044,NMF,H3K27ac,PairedTag_Zhu_2021,30,filtered_hvg_10,0.2572795138953236,0.0740678534002487,0.3070526376001919,0.0943756869817805,-0.2547133158465091,,
1045,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,30,filtered_hvg_10,0.5552221729768559,0.3324596816921498,0.5567147494105658,0.3374256931763852,0.0462535113400364,,
1046,NMF,H3K27ac,PairedTag_Zhu_2021,500,filtered_cell_q_20_70,0.5760851709315392,0.3507384992099556,0.5605217935473361,0.3249809133618878,0.0360335461122194,,
1047,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,500,filtered_cell_q_20_70,0.6182859297186959,0.3929841385099124,0.6153781683237081,0.3871968290027051,0.0660532867078648,,
1048,NMF,H3K27ac,PairedTag_Zhu_2021,1000,filtered_cell_q_20_70,0.5314981446959104,0.2918660779829548,0.5325363243059992,0.3081678369103783,0.0258964830225352,,
1049,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,1000,filtered_cell_q_20_70,0.6101787132256314,0.3731986080360789,0.607254948749539,0.4097728845485555,0.0553985306563786,,
1050,NMF,H3K27ac,PairedTag_Zhu_2021,10,filtered_cell_q_20_70,0.502136242577682,0.2634919178680663,0.5283332628449289,0.2921952856238668,-0.0301838325354898,,
1051,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,10,filtered_cell_q_20_70,0.590429688358033,0.3621607894148375,0.5932630580859098,0.3664809424132927,0.0459550067360225,,
1052,NMF,H3K27ac,PairedTag_Zhu_2021,50,filtered_cell_q_20_70,0.5662371930772063,0.3461704433865571,0.5742397051827389,0.3536681226341652,0.0404445965073144,,
1053,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,50,filtered_cell_q_20_70,0.6256025878889753,0.4236480899189372,0.631893075429958,0.4149735095765722,0.1000074724269632,,
1054,NMF,H3K27ac,PairedTag_Zhu_2021,20,filtered_cell_q_20_70,0.5241223796236442,0.2909418925635565,0.5262792167471663,0.2780509305649938,-0.003286518183058,,
1055,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,20,filtered_cell_q_20_70,0.6067768853805113,0.3717032862198667,0.6112840146746727,0.3630034133013377,0.0891566227590327,,
1056,NMF,H3K27ac,PairedTag_Zhu_2021,100,filtered_cell_q_20_70,0.5622050443021641,0.3154757640724825,0.578530123203574,0.3375386455181864,0.0399734146892626,,
1057,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,100,filtered_cell_q_20_70,0.6078363432071726,0.369295159059116,0.6158552498413925,0.3968494542873068,0.0690714880036161,,
1058,NMF,H3K27ac,PairedTag_Zhu_2021,300,filtered_cell_q_20_70,0.5750255514069431,0.3519222665411798,0.5776892416120363,0.3615529682861607,0.0424535701774946,,
1059,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,300,filtered_cell_q_20_70,0.6112495093961062,0.3879432644737194,0.6086354444794527,0.3886063809872857,0.0713739682687575,,
1060,NMF,H3K27ac,PairedTag_Zhu_2021,200,filtered_cell_q_20_70,0.5476957946871136,0.3177004273218347,0.5595927943396265,0.3368989514403966,0.0393801059087881,,
1061,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,200,filtered_cell_q_20_70,0.6151739352968676,0.3828934695608138,0.6294276712859397,0.4143715913385276,0.0696979578104009,,
1062,NMF,H3K27ac,PairedTag_Zhu_2021,30,filtered_cell_q_20_70,0.5424912794379289,0.319266860369594,0.5570341258456986,0.3513859528014712,0.0134246899885947,,
1063,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,30,filtered_cell_q_20_70,0.6305647484278675,0.4045594599918256,0.6339282369263792,0.4158962564345569,0.0947343696262591,,
1064,NMF,H3K27ac,PairedTag_Zhu_2021,500,filtered_q_5,0.291638967515677,0.0752293368221859,0.286820400568892,0.0630896336771502,-0.1719675304164209,,
1065,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,500,filtered_q_5,0.5691883320959931,0.3336697901113959,0.56916155918538,0.3380492759053438,0.0420812193360005,,
1066,NMF,H3K27ac,PairedTag_Zhu_2021,1000,filtered_q_5,0.2472551050285477,0.0502310118593131,0.2963956505677707,0.0849755065052183,-0.1707464077623489,,
1067,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,1000,filtered_q_5,0.5783231286586854,0.3483329443885177,0.5658299707355604,0.3376019172750295,0.04102000724442,,
1068,NMF,H3K27ac,PairedTag_Zhu_2021,10,filtered_q_5,0.1803451084319935,0.0688955257072348,0.1699511953241807,0.0629168176245963,-0.334847658732082,,
1069,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,10,filtered_q_5,0.5518345581000969,0.3177185898381622,0.5827419102984878,0.3726329635272636,0.0607879811597759,,
1070,NMF,H3K27ac,PairedTag_Zhu_2021,50,filtered_q_5,0.2864802502351168,0.0728564725457718,0.3429010728942309,0.1221905426891094,-0.2191466571834171,,
1071,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,50,filtered_q_5,0.5683602847750856,0.3558140488161069,0.5771731540868543,0.3608613264520541,0.0441872792826067,,
1072,NMF,H3K27ac,PairedTag_Zhu_2021,20,filtered_q_5,0.2549164315299841,0.0741165016385874,0.2948513906361519,0.0856850192669307,-0.2410432896647749,,
1073,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,20,filtered_q_5,0.5582952293327347,0.3311539898219645,0.5758385580760546,0.3714876125618208,0.0494892500041115,,
1074,NMF,H3K27ac,PairedTag_Zhu_2021,100,filtered_q_5,0.3218756824465485,0.0949273071459759,0.3374819392513718,0.1167912026673251,-0.1685610648611253,,
1075,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,100,filtered_q_5,0.5716812994051887,0.3362248929371507,0.5779677076102023,0.3465307174863066,0.0454171836507743,,
1076,NMF,H3K27ac,PairedTag_Zhu_2021,300,filtered_q_5,0.2947783133152189,0.0602532689401206,0.3275308050910929,0.1001436190178166,-0.1579167866053363,,
1077,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,300,filtered_q_5,0.5714075345324325,0.3639590659217885,0.5875974329217608,0.3830653065941166,0.0483680021776611,,
1078,NMF,H3K27ac,PairedTag_Zhu_2021,200,filtered_q_5,0.2850703868561074,0.0775082731126379,0.3049261382928822,0.0811043317747718,-0.1692660222556694,,
1079,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,200,filtered_q_5,0.5670052897982489,0.3324092951080593,0.5670111810918534,0.3262486854558842,0.0503967928063941,,
1080,NMF,H3K27ac,PairedTag_Zhu_2021,30,filtered_q_5,0.2376323357864138,0.0604152527978849,0.295434940834009,0.090531642683173,-0.2478682210847811,,
1081,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,30,filtered_q_5,0.5847551807499067,0.3803734749543897,0.6023055558429924,0.4004912747983031,0.0722172206112506,,
1082,NMF,H3K27ac,PairedTag_Zhu_2021,500,filtered_cell_q_0_50,0.5155795721545953,0.2763283433667556,0.5312002208555962,0.2677222405812121,0.0216801453537499,,
1083,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,500,filtered_cell_q_0_50,0.5879112122084035,0.3434868862474193,0.5860822013372584,0.3576835747437618,0.0363645516919058,,
1084,NMF,H3K27ac,PairedTag_Zhu_2021,1000,filtered_cell_q_0_50,0.5137703999384703,0.2798351170316605,0.497777464949424,0.2683685691086468,0.0141069606943244,,
1085,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,1000,filtered_cell_q_0_50,0.5731431796818799,0.329018302269107,0.5568624117966474,0.332320013457229,0.0365344047728584,,
1086,NMF,H3K27ac,PairedTag_Zhu_2021,10,filtered_cell_q_0_50,0.4314362862620208,0.1907952284355861,0.4174379681895196,0.1977655519595047,-0.0590337388898831,,
1087,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,10,filtered_cell_q_0_50,0.5874611511048319,0.3280507123325562,0.5997819270758452,0.3605357033412563,0.0559543398800151,,
1088,NMF,H3K27ac,PairedTag_Zhu_2021,50,filtered_cell_q_0_50,0.5124565325501506,0.2548788720451219,0.5244538130276604,0.2682204105343568,0.0080357683248733,,
1089,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,50,filtered_cell_q_0_50,0.5822183353999555,0.3484496069080803,0.574099405710669,0.333081635013505,0.0327994363729374,,
1090,NMF,H3K27ac,PairedTag_Zhu_2021,20,filtered_cell_q_0_50,0.4786002061083343,0.2252168210460433,0.5148962940536754,0.2746905440101977,-0.0279619068298423,,
1091,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,20,filtered_cell_q_0_50,0.5761684429664249,0.3023796609306355,0.5684483275475901,0.2944568555142252,0.0504568388864108,,
1092,NMF,H3K27ac,PairedTag_Zhu_2021,100,filtered_cell_q_0_50,0.5391721258959157,0.28070443996426,0.5602537288634345,0.3171032062064082,0.0269836799642417,,
1093,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,100,filtered_cell_q_0_50,0.6034451338685206,0.3656845703083018,0.6087094430687902,0.3740365747609133,0.0611584311554425,,
1094,NMF,H3K27ac,PairedTag_Zhu_2021,300,filtered_cell_q_0_50,0.5295035791892357,0.2619478686579802,0.5307419354970174,0.2842109886734169,0.0249182850545452,,
1095,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,300,filtered_cell_q_0_50,0.5908272666710251,0.3424973046594,0.5741631322988523,0.3481454964475702,0.048379987292002,,
1096,NMF,H3K27ac,PairedTag_Zhu_2021,200,filtered_cell_q_0_50,0.5042107390864092,0.2668628664406025,0.5082675508460893,0.2667048751091854,5.2788637647780135e-05,,
1097,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,200,filtered_cell_q_0_50,0.5820463010105515,0.341297559413571,0.5857860117398197,0.3665977264215096,0.0398407562622616,,
1098,NMF,H3K27ac,PairedTag_Zhu_2021,30,filtered_cell_q_0_50,0.4628520102111754,0.2300565412836263,0.4564109744871152,0.2235018780392761,-0.0316864121473163,,
1099,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,30,filtered_cell_q_0_50,0.5896966915784279,0.3541687284182464,0.6029708713002487,0.4036328988405155,0.0617043894957273,,
1100,NMF,H3K27ac,PairedTag_Zhu_2021,500,filtered_cell_q_50_100,0.4412786026072031,0.2259846808382682,0.4530614513060661,0.1849898446370019,-0.1074050991252605,,
1101,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,500,filtered_cell_q_50_100,0.5964094262091603,0.4278821336350008,0.6125277729780317,0.4755520583443818,0.061441481398428,,
1102,NMF,H3K27ac,PairedTag_Zhu_2021,1000,filtered_cell_q_50_100,0.431710159362179,0.2107657633711182,0.3691124777080733,0.13929099241242,-0.1290160271067961,,
1103,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,1000,filtered_cell_q_50_100,0.5998080578805696,0.4202591638489,0.5981801755046452,0.4539880811031886,0.0605851943564776,,
1104,NMF,H3K27ac,PairedTag_Zhu_2021,10,filtered_cell_q_50_100,0.1851971902537366,0.0554190671627635,0.1995382169252611,0.0685589701494494,-0.3441402968836675,,
1105,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,10,filtered_cell_q_50_100,0.552074038480444,0.33972274830543,0.5618656381696359,0.3645146442072582,0.0409789470689701,,
1106,NMF,H3K27ac,PairedTag_Zhu_2021,50,filtered_cell_q_50_100,0.3821828933487794,0.1654540093975691,0.4302905914899692,0.2121369147861138,-0.192635928261086,,
1107,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,50,filtered_cell_q_50_100,0.5640884926886705,0.3795632290651928,0.5714582983185166,0.3900250909852918,0.0480035739312318,,
1108,NMF,H3K27ac,PairedTag_Zhu_2021,20,filtered_cell_q_50_100,0.2286469830753851,0.0767277799139962,0.2542727117899115,0.0866160697223744,-0.3007887628255334,,
1109,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,20,filtered_cell_q_50_100,0.5595178806645854,0.3706137844057433,0.5618827112717425,0.3808461947338159,0.0479562202133818,,
1110,NMF,H3K27ac,PairedTag_Zhu_2021,100,filtered_cell_q_50_100,0.423318807071409,0.2017089936554226,0.4243181878756383,0.190688350245208,-0.15125684211973,,
1111,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,100,filtered_cell_q_50_100,0.5750432215596898,0.3829620522862063,0.5617644635914527,0.3577316170550677,0.0511893300470343,,
1112,NMF,H3K27ac,PairedTag_Zhu_2021,300,filtered_cell_q_50_100,0.4027937472649842,0.125604138046563,0.3979048654237556,0.1268343378990155,-0.113115151934541,,
1113,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,300,filtered_cell_q_50_100,0.5942052332702278,0.4147541898176424,0.6051227750207991,0.4831642267083085,0.0769119540697749,,
1114,NMF,H3K27ac,PairedTag_Zhu_2021,200,filtered_cell_q_50_100,0.3872876995982895,0.1538583438379299,0.388587724385372,0.1457886469153433,-0.1654411800105585,,
1115,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,200,filtered_cell_q_50_100,0.5760056174995083,0.367474595668151,0.5826921950981344,0.3844528353136764,0.0545362954720978,,
1116,NMF,H3K27ac,PairedTag_Zhu_2021,30,filtered_cell_q_50_100,0.3274435281653212,0.0933203284222261,0.3808080848772575,0.1752736183976841,-0.2045903077306953,,
1117,TFIDF-NMF,H3K27ac,PairedTag_Zhu_2021,30,filtered_cell_q_50_100,0.6083653969848299,0.440107997705699,0.6180101186390788,0.4584269708220795,0.0834536122154845,,
1118,Chromscape_LSI,H3K4me1,PairedTag_Zhu_2021,500,raw,0.5700162132965677,0.3528501066737968,0.5725042877798038,0.3627364382704402,0.0576560583007026,0.5765719665550114,0.4172258416492932
1119,Chromscape_PCA,H3K4me1,PairedTag_Zhu_2021,500,raw,0.5439412185617906,0.3394813578063052,0.5459711427966166,0.3578003741509766,0.0387206336281647,0.5528779330101803,0.390833644382365
1120,Signac,H3K4me1,PairedTag_Zhu_2021,500,raw,0.6795892072166979,0.4976393469216853,0.6207584518166944,0.400351685842625,0.0453419748477827,0.5656856012319145,0.4399134077345512
1121,SnapATAC,H3K4me1,PairedTag_Zhu_2021,500,raw,0.4306945030079547,0.2069904406331935,0.4284663772944881,0.194770640990752,-0.0218534482480516,0.4372103890041131,0.2280306342252636
1122,cisTopic,H3K4me1,PairedTag_Zhu_2021,500,raw,0.46186263594101,0.2329011624573666,0.4526594680286796,0.2308094825844581,-0.0197566137918885,0.4764588950367786,0.256155021550045
1123,PeakVI,H3K4me1,PairedTag_Zhu_2021,500,raw,0.5532219908611254,0.3380559962597655,0.5570857284735893,0.3697509131872163,0.0435806663545508,0.4733598256351584,0.2401971507595115
1124,SCALE,H3K4me1,PairedTag_Zhu_2021,500,raw,0.4607781110394769,0.2396061790081516,0.4544119801861394,0.2385685457410623,-0.0080042780165274,0.361847919314633,0.1176064245223349
1125,NMF,H3K4me1,PairedTag_Zhu_2021,500,raw,0.3641474860198411,0.111405931714951,0.3830313584608232,0.1301629296997783,-0.1668328731399754,0.5843553056476061,0.3869420899423596
1126,TFIDF-NMF,H3K4me1,PairedTag_Zhu_2021,500,raw,0.5810081147331941,0.3991820248136762,0.5742996983160059,0.4204332674894739,0.0552858189815657,0.6157252955022545,0.4636061492094097
1127,Chromscape_LSI,H3K4me1,PairedTag_Zhu_2021,1000,raw,0.5571866231830637,0.3541897989300979,0.5432783657962053,0.3395694658032625,0.0497358381681546,0.5632956230996147,0.3821243495390343
1128,Chromscape_PCA,H3K4me1,PairedTag_Zhu_2021,1000,raw,0.5051884594793122,0.3033848246329537,0.4865327724430215,0.311476261578109,0.0230512845951929,0.4851788699287022,0.35051349852297
1129,Signac,H3K4me1,PairedTag_Zhu_2021,1000,raw,0.6517513469778421,0.5019768099832966,0.5799544818329245,0.3171383773317701,0.0427136772056526,0.517612558612748,0.4016946907514404
1130,SnapATAC,H3K4me1,PairedTag_Zhu_2021,1000,raw,0.3582324192938511,0.1545949164692301,0.368995776448825,0.1541793792031748,-0.0332125117972568,0.3301136139780871,0.1196098478411634
1131,cisTopic,H3K4me1,PairedTag_Zhu_2021,1000,raw,0.3683629085982428,0.1542634010634944,0.352308712059101,0.1529571550489469,-0.0266178860791551,0.3752280855965039,0.1958882924087193
1132,PeakVI,H3K4me1,PairedTag_Zhu_2021,1000,raw,0.4630068214293114,0.2314185738458581,0.4701583704082716,0.268443815106724,-0.0372837123157122,0.4585193036686107,0.2903234247994729
1133,SCALE,H3K4me1,PairedTag_Zhu_2021,1000,raw,0.3775116491132392,0.1762975100435791,0.372431347341822,0.1761368679538455,-0.0512169140878051,0.3677184384948101,0.1974941219158721
1134,NMF,H3K4me1,PairedTag_Zhu_2021,1000,raw,0.3546217102788513,0.0991620303708065,0.3668208679312403,0.1487872286493687,-0.1714923055083073,0.5547808441575609,0.3792050895879944
1135,TFIDF-NMF,H3K4me1,PairedTag_Zhu_2021,1000,raw,0.5683174183662201,0.3879675183017272,0.5807086073162395,0.4101019606245175,0.0445946990835834,0.5775904006072002,0.3744845640494747
1136,NMF,H3K4me1,PairedTag_Zhu_2021,10,raw,0.2488313682811204,0.0853568179804299,0.3227633598791415,0.1388711604753809,-0.2289615012879955,0.4515300584777218,0.2363963133751251
1137,TFIDF-NMF,H3K4me1,PairedTag_Zhu_2021,10,raw,0.5666948829889735,0.3059864596082574,0.5843798777439133,0.3520701991633779,0.044652105562486,0.5959269157224627,0.4184234230611141
1138,Chromscape_LSI,H3K4me1,PairedTag_Zhu_2021,50,raw,0.5269510580758027,0.3008062050125503,0.5464333767950443,0.3022867429602141,0.0388589268605147,0.6076993926600043,0.4369855692186744
1139,Chromscape_PCA,H3K4me1,PairedTag_Zhu_2021,50,raw,0.4975587800789212,0.2763389894177634,0.4848185538359603,0.2390637980084445,-0.021300891370603,0.4358209788638835,0.1924503882413788
1140,Signac,H3K4me1,PairedTag_Zhu_2021,50,raw,0.6281952537364943,0.3306282804425492,0.6465105956185488,0.4052538364049722,-0.0918497321193228,0.6895006040846026,0.5376148382405931
1141,SnapATAC,H3K4me1,PairedTag_Zhu_2021,50,raw,0.4942428320552282,0.2450256639601048,0.4926116205737219,0.2254210096003729,-0.0199565530661268,0.4561147301722374,0.1829409629280967
1142,cisTopic,H3K4me1,PairedTag_Zhu_2021,50,raw,0.5356254769999259,0.276019305952867,0.5381750229719151,0.3025091357192118,-0.0033532544966278,0.5535037914273636,0.322603123198241
1143,PeakVI,H3K4me1,PairedTag_Zhu_2021,50,raw,0.6106762100768655,0.4174254366369579,0.610580477290966,0.4427623734550077,0.0550876951770319,0.5108192541673509,0.3041347655546864
