,Method,K,fraction,frac. shared neighbors,Mark,Dataset,binsize,feature_selection
69,TFIDF-NMF,42,0.005,0.0143333103954491,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
70,Chromscape_LSI,83,0.01,0.0185844534206188,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
71,Chromscape_PCA,83,0.01,0.018324744062957,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
72,Signac,83,0.01,0.020223959421501,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
73,SnapATAC,83,0.01,0.0237539754393295,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
74,cisTopic,83,0.01,0.0292775146830094,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
75,NMF,83,0.01,0.020560565963275,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
76,TFIDF-NMF,83,0.01,0.026279975392901,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
77,Chromscape_LSI,249,0.03,0.0493075384389194,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
78,Chromscape_PCA,249,0.03,0.0504261748342116,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
79,Signac,249,0.03,0.0530401954639366,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
80,SnapATAC,249,0.03,0.0623665180955034,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
81,cisTopic,249,0.03,0.0765983007173201,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
82,NMF,249,0.03,0.0527026216619851,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
83,TFIDF-NMF,249,0.03,0.0673237265052502,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
84,Chromscape_LSI,415,0.05,0.0778666689880911,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
85,Chromscape_PCA,415,0.05,0.0800398124289063,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
86,Signac,415,0.05,0.081851684193421,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
87,SnapATAC,415,0.05,0.0977453165262204,H3K9me3,scCutTagPro_Zhang_2021,MacsPseudoBulk,raw
